"id","label","group"
"Myriel","Myriel",1
"Napoleon","Napoleon",1
"MlleBaptistine","MlleBaptistine",1
"MmeMagloire","MmeMagloire",1
"CountessDeLo","CountessDeLo",1
"Geborand","Geborand",1
"Champtercier","Champtercier",1
"Cravatte","Cravatte",1
"Count","Count",1
"OldMan","OldMan",1
"Labarre","Labarre",2
"Valjean","Valjean",2
"Marguerite","Marguerite",2
"MmeDeR","MmeDeR",2
"Isabeau","Isabeau",2
"Gervais","Gervais",2
"Tholomyes","Tholomyes",3
"Listolier","Listolier",3
"Fameuil","Fameuil",3
"Blacheville","Blacheville",3
"Favourite","Favourite",3
"Dahlia","Dahlia",3
"Zephine","Zephine",3
"Fantine","Fantine",3
"MmeThenardier","MmeThenardier",4
"Thenardier","Thenardier",4
"Cosette","Cosette",5
"Javert","Javert",4
"Fauchelevent","Fauchelevent",2
"Bamatabois","Bamatabois",2
"Perpetue","Perpetue",3
"Simplice","Simplice",3
"Scaufflaire","Scaufflaire",2
"Woman1","Woman1",2
"Judge","Judge",2
"Champmathieu","Champmathieu",2
"Brevet","Brevet",2
"Chenildieu","Chenildieu",2
"Cochepaille","Cochepaille",2
"Pontmercy","Pontmercy",5
"Boulatruelle","Boulatruelle",4
"Eponine","Eponine",4
"Anzelma","Anzelma",4
"Woman2","Woman2",2
"MotherInnocent","MotherInnocent",2
"Gribier","Gribier",2
"Jondrette","Jondrette",6
"MmeBurgon","MmeBurgon",6
"Gavroche","Gavroche",6
"Gillenormand","Gillenormand",5
"Magnon","Magnon",5
"MlleGillenormand","MlleGillenormand",5
"MmePontmercy","MmePontmercy",5
"MlleVaubois","MlleVaubois",5
"LtGillenormand","LtGillenormand",5
"Marius","Marius",5
"BaronessT","BaronessT",5
"Mabeuf","Mabeuf",6
"Enjolras","Enjolras",6
"Combeferre","Combeferre",6
"Prouvaire","Prouvaire",6
"Feuilly","Feuilly",6
"Courfeyrac","Courfeyrac",6
"Bahorel","Bahorel",6
"Bossuet","Bossuet",6
"Joly","Joly",6
"Grantaire","Grantaire",6
"MotherPlutarch","MotherPlutarch",6
"Gueulemer","Gueulemer",4
"Babet","Babet",4
"Claquesous","Claquesous",4
"Montparnasse","Montparnasse",4
"Toussaint","Toussaint",2
"Child1","Child1",6
"Child2","Child2",6
"Brujon","Brujon",4
"MmeHucheloup","MmeHucheloup",6
