source,target,edge,source_group,source_color,source_size,target_group,target_color,target_size
Myriel,Napoleon,1,1,#e41a1c,136.0,1,#e41a1c,10.0
Myriel,MlleBaptistine,8,1,#e41a1c,136.0,1,#e41a1c,38.0
Myriel,MmeMagloire,10,1,#e41a1c,136.0,1,#e41a1c,38.0
MlleBaptistine,MmeMagloire,6,1,#e41a1c,38.0,1,#e41a1c,38.0
Myriel,CountessDeLo,1,1,#e41a1c,136.0,1,#e41a1c,10.0
Myriel,Geborand,1,1,#e41a1c,136.0,1,#e41a1c,10.0
Myriel,Champtercier,1,1,#e41a1c,136.0,1,#e41a1c,10.0
Myriel,Cravatte,1,1,#e41a1c,136.0,1,#e41a1c,10.0
Myriel,Count,2,1,#e41a1c,136.0,1,#e41a1c,10.0
Myriel,OldMan,1,1,#e41a1c,136.0,1,#e41a1c,10.0
Labarre,Valjean,1,2,#377eb8,10.0,2,#377eb8,500.0
MmeMagloire,Valjean,3,1,#e41a1c,38.0,2,#377eb8,500.0
MlleBaptistine,Valjean,3,1,#e41a1c,38.0,2,#377eb8,500.0
Myriel,Valjean,5,1,#e41a1c,136.0,2,#377eb8,500.0
Valjean,Marguerite,1,2,#377eb8,500.0,2,#377eb8,24.0
Valjean,MmeDeR,1,2,#377eb8,500.0,2,#377eb8,10.0
Valjean,Isabeau,1,2,#377eb8,500.0,2,#377eb8,10.0
Valjean,Gervais,1,2,#377eb8,500.0,2,#377eb8,10.0
Tholomyes,Listolier,4,3,#4daf4a,122.0,3,#4daf4a,94.0
Tholomyes,Fameuil,4,3,#4daf4a,122.0,3,#4daf4a,94.0
Listolier,Fameuil,4,3,#4daf4a,94.0,3,#4daf4a,94.0
Tholomyes,Blacheville,4,3,#4daf4a,122.0,3,#4daf4a,94.0
Listolier,Blacheville,4,3,#4daf4a,94.0,3,#4daf4a,94.0
Fameuil,Blacheville,4,3,#4daf4a,94.0,3,#4daf4a,94.0
Tholomyes,Favourite,3,3,#4daf4a,122.0,3,#4daf4a,94.0
Listolier,Favourite,3,3,#4daf4a,94.0,3,#4daf4a,94.0
Fameuil,Favourite,3,3,#4daf4a,94.0,3,#4daf4a,94.0
Blacheville,Favourite,4,3,#4daf4a,94.0,3,#4daf4a,94.0
Tholomyes,Dahlia,3,3,#4daf4a,122.0,3,#4daf4a,94.0
Listolier,Dahlia,3,3,#4daf4a,94.0,3,#4daf4a,94.0
Fameuil,Dahlia,3,3,#4daf4a,94.0,3,#4daf4a,94.0
Blacheville,Dahlia,3,3,#4daf4a,94.0,3,#4daf4a,94.0
Favourite,Dahlia,5,3,#4daf4a,94.0,3,#4daf4a,94.0
Tholomyes,Zephine,3,3,#4daf4a,122.0,3,#4daf4a,94.0
Listolier,Zephine,3,3,#4daf4a,94.0,3,#4daf4a,94.0
Fameuil,Zephine,3,3,#4daf4a,94.0,3,#4daf4a,94.0
Blacheville,Zephine,3,3,#4daf4a,94.0,3,#4daf4a,94.0
Favourite,Zephine,4,3,#4daf4a,94.0,3,#4daf4a,94.0
Dahlia,Zephine,4,3,#4daf4a,94.0,3,#4daf4a,94.0
Tholomyes,Fantine,3,3,#4daf4a,122.0,3,#4daf4a,206.0
Listolier,Fantine,3,3,#4daf4a,94.0,3,#4daf4a,206.0
Fameuil,Fantine,3,3,#4daf4a,94.0,3,#4daf4a,206.0
Blacheville,Fantine,3,3,#4daf4a,94.0,3,#4daf4a,206.0
Favourite,Fantine,4,3,#4daf4a,94.0,3,#4daf4a,206.0
Dahlia,Fantine,4,3,#4daf4a,94.0,3,#4daf4a,206.0
Zephine,Fantine,4,3,#4daf4a,94.0,3,#4daf4a,206.0
Marguerite,Fantine,2,2,#377eb8,24.0,3,#4daf4a,206.0
Valjean,Fantine,9,2,#377eb8,500.0,3,#4daf4a,206.0
Fantine,MmeThenardier,2,3,#4daf4a,206.0,4,#984ea3,150.0
Valjean,MmeThenardier,7,2,#377eb8,500.0,4,#984ea3,150.0
MmeThenardier,Thenardier,13,4,#984ea3,150.0,4,#984ea3,220.0
Fantine,Thenardier,1,3,#4daf4a,206.0,4,#984ea3,220.0
Valjean,Thenardier,12,2,#377eb8,500.0,4,#984ea3,220.0
MmeThenardier,Cosette,4,4,#984ea3,150.0,5,#ff7f00,150.0
Valjean,Cosette,31,2,#377eb8,500.0,5,#ff7f00,150.0
Tholomyes,Cosette,1,3,#4daf4a,122.0,5,#ff7f00,150.0
Thenardier,Cosette,1,4,#984ea3,220.0,5,#ff7f00,150.0
Valjean,Javert,17,2,#377eb8,500.0,4,#984ea3,234.0
Fantine,Javert,5,3,#4daf4a,206.0,4,#984ea3,234.0
Thenardier,Javert,5,4,#984ea3,220.0,4,#984ea3,234.0
MmeThenardier,Javert,1,4,#984ea3,150.0,4,#984ea3,234.0
Cosette,Javert,1,5,#ff7f00,150.0,4,#984ea3,234.0
Valjean,Fauchelevent,8,2,#377eb8,500.0,2,#377eb8,52.0
Javert,Fauchelevent,1,4,#984ea3,234.0,2,#377eb8,52.0
Fantine,Bamatabois,1,3,#4daf4a,206.0,2,#377eb8,108.0
Javert,Bamatabois,1,4,#984ea3,234.0,2,#377eb8,108.0
Valjean,Bamatabois,2,2,#377eb8,500.0,2,#377eb8,108.0
Fantine,Perpetue,1,3,#4daf4a,206.0,3,#4daf4a,24.0
Perpetue,Simplice,2,3,#4daf4a,24.0,3,#4daf4a,52.0
Valjean,Simplice,3,2,#377eb8,500.0,3,#4daf4a,52.0
Fantine,Simplice,2,3,#4daf4a,206.0,3,#4daf4a,52.0
Javert,Simplice,1,4,#984ea3,234.0,3,#4daf4a,52.0
Valjean,Scaufflaire,1,2,#377eb8,500.0,2,#377eb8,10.0
Valjean,Woman1,2,2,#377eb8,500.0,2,#377eb8,24.0
Javert,Woman1,1,4,#984ea3,234.0,2,#377eb8,24.0
Valjean,Judge,3,2,#377eb8,500.0,2,#377eb8,80.0
Bamatabois,Judge,2,2,#377eb8,108.0,2,#377eb8,80.0
Valjean,Champmathieu,3,2,#377eb8,500.0,2,#377eb8,80.0
Judge,Champmathieu,3,2,#377eb8,80.0,2,#377eb8,80.0
Bamatabois,Champmathieu,2,2,#377eb8,108.0,2,#377eb8,80.0
Judge,Brevet,2,2,#377eb8,80.0,2,#377eb8,80.0
Champmathieu,Brevet,2,2,#377eb8,80.0,2,#377eb8,80.0
Valjean,Brevet,2,2,#377eb8,500.0,2,#377eb8,80.0
Bamatabois,Brevet,1,2,#377eb8,108.0,2,#377eb8,80.0
Judge,Chenildieu,2,2,#377eb8,80.0,2,#377eb8,80.0
Champmathieu,Chenildieu,2,2,#377eb8,80.0,2,#377eb8,80.0
Brevet,Chenildieu,2,2,#377eb8,80.0,2,#377eb8,80.0
Valjean,Chenildieu,2,2,#377eb8,500.0,2,#377eb8,80.0
Bamatabois,Chenildieu,1,2,#377eb8,108.0,2,#377eb8,80.0
Judge,Cochepaille,2,2,#377eb8,80.0,2,#377eb8,80.0
Champmathieu,Cochepaille,2,2,#377eb8,80.0,2,#377eb8,80.0
Brevet,Cochepaille,2,2,#377eb8,80.0,2,#377eb8,80.0
Chenildieu,Cochepaille,2,2,#377eb8,80.0,2,#377eb8,80.0
Valjean,Cochepaille,2,2,#377eb8,500.0,2,#377eb8,80.0
Bamatabois,Cochepaille,1,2,#377eb8,108.0,2,#377eb8,80.0
Thenardier,Pontmercy,1,4,#984ea3,220.0,5,#ff7f00,38.0
Thenardier,Boulatruelle,1,4,#984ea3,220.0,4,#984ea3,10.0
MmeThenardier,Eponine,2,4,#984ea3,150.0,4,#984ea3,150.0
Thenardier,Eponine,3,4,#984ea3,220.0,4,#984ea3,150.0
Eponine,Anzelma,2,4,#984ea3,150.0,4,#984ea3,38.0
Thenardier,Anzelma,2,4,#984ea3,220.0,4,#984ea3,38.0
MmeThenardier,Anzelma,1,4,#984ea3,150.0,4,#984ea3,38.0
Valjean,Woman2,3,2,#377eb8,500.0,2,#377eb8,38.0
Cosette,Woman2,1,5,#ff7f00,150.0,2,#377eb8,38.0
Javert,Woman2,1,4,#984ea3,234.0,2,#377eb8,38.0
Fauchelevent,MotherInnocent,3,2,#377eb8,52.0,2,#377eb8,24.0
Valjean,MotherInnocent,1,2,#377eb8,500.0,2,#377eb8,24.0
Fauchelevent,Gribier,2,2,#377eb8,52.0,2,#377eb8,10.0
Jondrette,MmeBurgon,1,6,#ffff33,10.0,6,#ffff33,24.0
MmeBurgon,Gavroche,2,6,#ffff33,24.0,6,#ffff33,304.0
Thenardier,Gavroche,1,4,#984ea3,220.0,6,#ffff33,304.0
Javert,Gavroche,1,4,#984ea3,234.0,6,#ffff33,304.0
Valjean,Gavroche,1,2,#377eb8,500.0,6,#ffff33,304.0
Cosette,Gillenormand,3,5,#ff7f00,150.0,5,#ff7f00,94.0
Valjean,Gillenormand,2,2,#377eb8,500.0,5,#ff7f00,94.0
Gillenormand,Magnon,1,5,#ff7f00,94.0,5,#ff7f00,24.0
MmeThenardier,Magnon,1,4,#984ea3,150.0,5,#ff7f00,24.0
Gillenormand,MlleGillenormand,9,5,#ff7f00,94.0,5,#ff7f00,94.0
Cosette,MlleGillenormand,2,5,#ff7f00,150.0,5,#ff7f00,94.0
Valjean,MlleGillenormand,2,2,#377eb8,500.0,5,#ff7f00,94.0
MlleGillenormand,MmePontmercy,1,5,#ff7f00,94.0,5,#ff7f00,24.0
Pontmercy,MmePontmercy,1,5,#ff7f00,38.0,5,#ff7f00,24.0
