Id,Label,node,node_group,node_area,node_gender,node_level,node_group_color,node_area_color,node_gender_color,node_level_color,node_size,node_size_norm,node_position
0,Matrícula - 0,0,circle3,Finance,Feminino,Especialista,#96E6BF,#8567C5,#13B40D,#E5F393,347,172,[-0.4845621   0.17057358]
1,Matrícula - 1,1,circle15,Finance,Feminino,Especialista,#60DF20,#8567C5,#13B40D,#E5F393,17,17,[-0.48869652  0.29318953]
2,Matrícula - 2,2,circle10,Finance,Feminino,Analista,#940128,#8567C5,#13B40D,#9C4048,10,14,[-0.74918509  0.05801128]
3,Matrícula - 3,3,circle15,Finance,Não informado,Especialista,#60DF20,#8567C5,#B15009,#E5F393,17,17,[-0.4053486   0.11648182]
4,Matrícula - 4,4,no_circle,Finance,Masculino,Analista,#FC18FE,#8567C5,#D38644,#9C4048,10,14,[-0.63859642  0.38610762]
5,Matrícula - 5,5,circle16,Finance,Masculino,Liderança,#FE57B2,#8567C5,#D38644,#76042C,13,15,[-0.49167132  0.30547655]
6,Matrícula - 6,6,circle15,Finance,Feminino,Liderança,#60DF20,#8567C5,#13B40D,#76042C,6,12,[-0.61859381 -0.09331759]
7,Matrícula - 7,7,circle15,Finance,Masculino,Liderança,#60DF20,#8567C5,#D38644,#76042C,20,18,[-0.43092972  0.27733064]
8,Matrícula - 8,8,no_circle,Finance,Masculino,Analista,#FC18FE,#8567C5,#D38644,#9C4048,8,13,[-0.72837752  0.32725674]
9,Matrícula - 9,9,circle16,Finance,Masculino,Especialista,#FE57B2,#8567C5,#D38644,#E5F393,57,36,[-0.45788908  0.16416207]
10,Matrícula - 10,10,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,10,14,[-0.52136868  0.22755617]
11,Matrícula - 11,11,no_circle,Finance,Feminino,Analista,#FC18FE,#8567C5,#13B40D,#9C4048,1,10,[-0.6961754   0.39688101]
12,Matrícula - 12,12,circle21,Finance,Masculino,Analista,#054823,#8567C5,#D38644,#9C4048,1,10,[-0.81634897  0.26597464]
13,Matrícula - 13,13,circle11,Finance,Masculino,Liderança,#1735D6,#8567C5,#D38644,#76042C,31,24,[-0.50063562  0.13845444]
14,Matrícula - 14,14,circle10,Finance,Masculino,Especialista,#940128,#8567C5,#D38644,#E5F393,15,16,[-0.72653013  0.04312781]
15,Matrícula - 15,15,circle15,Finance,Feminino,Executivo,#60DF20,#8567C5,#13B40D,#CCDD50,1,10,[-0.70036936  0.39099422]
16,Matrícula - 16,16,circle15,Finance,Feminino,Liderança,#60DF20,#8567C5,#13B40D,#76042C,9,13,[-0.57524562  0.12555644]
17,Matrícula - 17,17,circle19,Finance,Masculino,Analista,#720499,#8567C5,#D38644,#9C4048,13,15,[-0.67046702  0.0080576 ]
18,Matrícula - 18,18,no_circle,Finance,Feminino,Analista,#FC18FE,#8567C5,#13B40D,#9C4048,1,10,[-0.23830824  0.51076591]
19,Matrícula - 19,19,no_circle,Finance,Feminino,Liderança,#FC18FE,#8567C5,#13B40D,#76042C,16,17,[-5.51809072e-01 -7.52089036e-05]
20,Matrícula - 20,20,circle19,Finance,Não informado,Analista,#720499,#8567C5,#B15009,#9C4048,15,16,[-0.74663168  0.06402437]
